path,category,status,error
.mplconfig/fontlist-v330.json,project_root,PASS,
.vscode/tasks.json,project_root,PASS,
config/company_tickers_exchange.json,config,PASS,
docs/_redundant/01_legacy_project_docs/initial_project_overview_2025.json,archived_doc,PASS,
docs/_redundant/01_legacy_project_docs/legacy_project_overview_2025.json,archived_doc,PASS,
notebooks/archive/legacy_gluon.ipynb,notebook,PASS,
notebooks/archive/legacy_gluon_exported_notebook.json,notebook,PASS,
notebooks/firm_panel_manual_audit.ipynb,notebook,PASS,
reports/model_tuning/distress_next_4q/best_by_validation.json,report_output,PASS,
reports/model_tuning/failure_pressure_conservative_v2_next_4obs/best_by_validation.json,report_output,PASS,
reports/model_tuning/success_resilience_next_4q/best_by_validation.json,report_output,PASS,
reports/model_tuning_advanced/distress_next_4q/best_by_validation.json,report_output,PASS,
reports/model_tuning_advanced/failure_pressure_conservative_v2_next_4obs/best_by_validation.json,report_output,PASS,
reports/model_tuning_advanced/success_resilience_next_4q/best_by_validation.json,report_output,PASS,
reports/modeling/calibration_selected_models.json,report_output,PASS,
reports/modeling/panel_v2_best_model.json,report_output,PASS,
reports/modeling/panel_v2_distress_next_4q_best_model.json,report_output,PASS,
reports/modeling/panel_v2_failure_pressure_conservative_v2_next_4obs_best_model.json,report_output,PASS,
reports/modeling/panel_v2_industry_relative_resilience_next_4obs_best_model.json,report_output,PASS,
reports/modeling/panel_v2_quality_success_cashflow_next_4obs_best_model.json,report_output,PASS,
reports/modeling/panel_v2_recovery_next_4obs_best_model.json,report_output,PASS,
reports/modeling/panel_v2_stress_resilience_next_4obs_best_model.json,report_output,PASS,
reports/modeling/panel_v2_success_resilience_next_4q_best_model.json,report_output,PASS,
reports/target_experiments/test_broader_targets1/experiment_config.json,report_output,PASS,
reports/target_experiments/test_broader_targets2/experiment_config.json,report_output,PASS,
reports/target_experiments/test_broader_targets3/experiment_config.json,report_output,PASS,
reports/target_experiments/test_broader_targets4/experiment_config.json,report_output,PASS,
reports/target_tweak_experiments/test_target_tweaks1/tweak_config.json,report_output,PASS,
reports/target_tweak_experiments/test_target_tweaks2/tweak_config.json,report_output,PASS,
reports/target_tweak_experiments/test_target_tweaks3/tweak_config.json,report_output,PASS,
reports/target_tweak_experiments/test_target_tweaks4/tweak_config.json,report_output,PASS,
reports/target_tweak_experiments/test_target_tweaks5/tweak_config.json,report_output,PASS,
